datetime,symbol,open,high,close,market_cap
2024-07-14,ADA,0.38891558112552815,0.44074866384060085,0.44074866384060085,15696671133.198269
2024-07-21,ADA,0.4326119985772805,0.44566235835597195,0.4378613650729356,15573864919.582714
2024-07-28,ADA,0.44643616890440546,0.44643616890440546,0.4185181904594663,14892946897.781445
2024-08-04,ADA,0.40743321280108274,0.40743321280108274,0.3640012189746031,12954368774.863312
2024-08-11,ADA,0.34343963988017445,0.35200444395630276,0.34575255637315994,12316694885.45399
2024-08-18,ADA,0.32813971205626685,0.34031679440042234,0.3367647480219364,11990796698.921833
2024-08-25,ADA,0.3342293557488534,0.3945505635201381,0.3945505635201381,14045674849.371311
2024-09-01,ADA,0.3844660979829369,0.3844660979829369,0.3451418483757914,12301239516.339321
2024-09-08,ADA,0.33191560964421096,0.33562351056617523,0.32488179592925853,11564619809.037928
2024-09-15,ADA,0.33822776938877436,0.3609103971852186,0.3543867937736658,12634644403.81801
2024-09-22,ADA,0.33876222959128865,0.3586709136742786,0.3586709136742786,12808603356.143707
2024-09-29,ADA,0.35165733867823534,0.4022917151536981,0.4012393022942459,14305918208.527775
2024-10-06,ADA,0.3974742599990274,0.3974742599990274,0.35085767943930835,12520996098.190609
2024-10-13,ADA,0.35722039594548466,0.35722039594548466,0.35324078265088743,12611074103.193417
2024-10-20,ADA,0.3478700854188225,0.36343770186385754,0.3516050685811563,12560622562.93806
2024-10-27,ADA,0.3646357419916626,0.3646357419916626,0.3330659842420291,11904688906.03608
2024-11-03,ADA,0.3395498778354121,0.3570443323953907,0.34761902771436987,12424329802.817984
2024-11-10,ADA,0.3345206264479513,0.4873424195485118,0.4873424195485118,17405034989.691643
2024-11-17,ADA,0.588734921251616,0.7369580120453421,0.7369580120453421,26346062209.769974
2024-11-24,ADA,0.7021515183224912,1.0632099880614343,1.0632099880614343,37995867804.11106
2024-12-01,ADA,1.0259059332257112,1.0795804194768817,1.079440192925627,38662755540.67341
2024-12-08,ADA,1.147892256369758,1.2330018039218942,1.2144434934843331,43485669123.33586
2024-12-15,ADA,1.197963535910322,1.197963535910322,1.0601034433845538,37963590469.38818
2024-12-22,ADA,1.1059376495294093,1.1059376495294093,0.9046599113089583,32347333228.842308
2024-12-29,ADA,0.8827956119261179,0.9368563828179975,0.8875851081613702,31824025510.76384
2025-01-05,ADA,0.8591433475186276,1.0904865469624805,1.0719205077612817,38453818208.48556
2025-01-12,ADA,1.0939767111827936,1.0941475413501178,0.996136878939902,35743211320.13196
2025-01-19,ADA,0.969186964876666,1.1369537229272808,1.1009310555353091,39484505228.01884
2025-01-26,ADA,0.9917829386728937,1.0068201561876229,0.9775990304899743,35108848393.8826
2025-02-02,ADA,0.9541780430020652,0.9609684445044405,0.8982630053120425,32282111416.230274
2025-02-09,ADA,0.7981056815290045,0.8095252800415622,0.7021784786978031,25218641928.38805
2025-02-16,ADA,0.6829085131547858,0.8102560488773543,0.7814783063035197,28066250054.163837
2025-02-23,ADA,0.7713503011207024,0.8072872842141813,0.7742502077307336,27839353694.895298
2025-03-02,ADA,0.7709438007684473,0.7709438007684473,0.6582602004111846,23630356571.081604
2025-03-09,ADA,1.1383401347214195,1.1383401347214195,0.804467726740253,28882396287.35148
2025-03-16,ADA,0.721388146040346,0.7477933206994789,0.7477933206994789,26899724202.787777
2025-03-23,ADA,0.7063226566895222,0.7454676924079612,0.7004888130724237,25197460837.91379
2025-03-30,ADA,0.708589878997602,0.7456209405094492,0.6740559356529756,24251446924.005077
2025-04-06,ADA,0.6601152181346328,0.6782918986781525,0.6562187375321188,23579970910.38866
2025-04-13,ADA,0.573016902460604,0.658135992436163,0.658135992436163,23694035438.31094
2025-04-20,ADA,0.6370042586934123,0.6370042586934123,0.6280852975713835,22622189176.60253
2025-04-27,ADA,0.6202087731824584,0.7220676397924738,0.7075935331519487,25489395856.82053
2025-05-04,ADA,0.704070171794187,0.7052906740354157,0.7013467253059199,25270033507.44271
2025-05-11,ADA,0.6763756494805502,0.8400596557571808,0.8400596557571808,30273711466.994972
2025-05-18,ADA,0.8048629924679394,0.8312541090164433,0.7424784161936966,26771209957.898502
2025-05-25,ADA,0.7518394820880364,0.8077548195843751,0.7460261925160765,26915457892.192314
2025-06-01,ADA,0.7589761692612583,0.7589761692612583,0.6863035406713839,24770107966.349792
2025-06-08,ADA,0.6853559510305921,0.6900620402912112,0.665097118031322,24001422606.92728
2025-06-15,ADA,0.6696475032429187,0.7161084051691045,0.6249531411165467,22575311987.07911
2025-06-22,ADA,0.6338091675682362,0.6348092267777333,0.5507083653541873,19860269185.90414
2025-06-29,ADA,0.5411301510006504,0.5872194649270592,0.5655976009022613,20424929514.86251
2025-07-06,ADA,0.5775074724180472,0.5987839336899987,0.5760131698614164,20813202746.91737
2025-07-13,ADA,0.5857056935866781,0.6293246147203543,0.6293246147203543,22740468213.746716
