datetime,symbol,open,high,close,market_cap,coin
2024-07-14,XRP,0.526839519388817,0.526839519388817,0.526839519388817,29438182786.7698,XRP
2024-07-21,XRP,0.5234292029632325,0.6273851564998204,0.595029933937848,33275930800.02671,XRP
2024-07-28,XRP,0.5980160389473247,0.6185453553161305,0.5977718576875165,33461222350.94947,XRP
2024-08-04,XRP,0.6021780816719867,0.627331702923322,0.5561223750845103,31148787375.519512,XRP
2024-08-11,XRP,0.523000237013472,0.6180253163116132,0.5859665998030177,32874309915.441666,XRP
2024-08-18,XRP,0.5528843062140291,0.5764397935244148,0.566181906156675,31773619165.905563,XRP
2024-08-25,XRP,0.5641402621351506,0.6139391687850385,0.6139391687850385,34491160674.30759,XRP
2024-09-01,XRP,0.5995127578984722,0.5995127578984722,0.5658008208842239,31833847986.957657,XRP
2024-09-08,XRP,0.5482578347068274,0.5671557310315145,0.5247980291815724,29548526637.092262,XRP
2024-09-15,XRP,0.5285291709201617,0.5963129007980363,0.5963129007980363,33606464240.420605,XRP
2024-09-22,XRP,0.5710582563848365,0.5979982229214985,0.5979982229214985,33764665008.627327,XRP
2024-09-29,XRP,0.5879476818374326,0.6150093639492326,0.6150093639492326,34786926383.63196,XRP
2024-10-06,XRP,0.6425919277698904,0.6425919277698904,0.529571423116506,29950127382.310875,XRP
2024-10-13,XRP,0.5331799843165047,0.5395284850689778,0.5395284850689778,30564659258.72339,XRP
2024-10-20,XRP,0.5316807964040682,0.5479583804429464,0.5443283945989427,30867246079.877224,XRP
2024-10-27,XRP,0.5465831979073458,0.5465831979073458,0.5124799627206477,29112702064.221813,XRP
2024-11-03,XRP,0.51635641669338,0.528517656350638,0.5097643435439516,28985111559.766685,XRP
2024-11-10,XRP,0.5030000429314513,0.5574298820177034,0.5574298820177034,31836113890.61354,XRP
2024-11-17,XRP,0.5894389337521334,1.1228963632747573,1.1228963632747573,63977542700.94049,XRP
2024-11-24,XRP,1.0602237280952598,1.4647330527827664,1.4647330527827664,83300744233.09833,XRP
2024-12-01,XRP,1.4316792853395408,1.9394127481300487,1.9394127481300487,110604358349.3416,XRP
2024-12-08,XRP,2.286339588570724,2.708847474521713,2.5927269695998327,148089387443.7888,XRP
2024-12-15,XRP,2.6181421664576834,2.6181421664576834,2.397763779704852,137201303559.24551,XRP
